Type,Indicator,Description
SHA256,dd61541351f8040c26cb1efdaef15fdb041498db7b2982ed5af47a07dea12151,dd61541351f8040c26cb1efdaef15fdb041498db7b2982ed5af47a07dea12151.sct
SHA256,38f3a52e1ebd93db75f0fb6ce6172565cc0f27f0f86f32f470fa7a9c8de9f094,23619.ocx
Domain,maps.doaglas.com,Domain C2
IP,190.10.8.23,IP C2
