Type,Indicator,Description
SHA-256,ae2c52f5968abfb5b786d2d7227d726f5d19808c5611a813e90b2ca484e2414b,9400537845275.xls
SHA-256,b1938195272321552d60b700ae5b79fab75541d187b2898b007fdf2dc72dda18,bgrrcojo.dll
URL,https://rumetonare.com/?<GUID>,URL delievery
Domain,rumetonare.com,Domain delievery
IP,84.38.180.4,IP requested
